Reference,Value,Footprint,Qty
C1,10u,Capacitor_THT:CP_Radial_D4.0mm_P1.50mm,1
"C2,C3",22p,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,2
"C4,C5",100n,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,2
"D1-37,D40",1N4148,madras:D_DO-35_SOD27_P5.08mm_Horizontal,38
"D38,D39",3.6V,madras:D_DO-35_SOD27_P5.08mm_Horizontal,2
D41,3mm,dm9_miscs:LED_D3.0mm GREEN,1
D42,3mm,dm9_miscs:LED_D3.0mm RED,1
F1,100mA,dm9_miscs:polyfuse_5.1mm,1
J1,USB_C_Receptacle,Connector_USB:USB_C_Receptacle_GCT_USB4085,1
Q1,BS170,Package_TO_SOT_THT:TO-92_Inline,1
"R1,R2,R6",5k1,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,3
"R3,R7,R8",1k5,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,3
"R4,R5",75R,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2
R9,300R,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1
R10,47k,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1
RL1,G2R-2-DC5,Relay_THT:Relay_DPDT_Omron_G2RL,1
"SW1-37,SW40",SW_Push,cherry mx compatible,38
"SW38, SW39",,Button_Switch_THT:SW_PUSH_6mm,2
U1,ATMEGA328P-PU,Package_DIP:DIP-28_W7.62mm_Socket,1
U1,IC socket,DIP-28_W7.62,1
Y1,16MHz,Crystal:Crystal_HC49-4H_Vertical,1
Screw,M2 8mm,,4
Screw,M2 20mm,,1
Screw,M2 16mm,,3
Screw,M2 nut,,18
Spacer,M2 10mm(no thread),,4
Cover,Acrylic cover,,1
rubber feet,,,4
STAB,Cherry MX Stabilizers (2Ux2 or 6.25Ux1),,1
